schemaVersion,recordType,source.name,source.url,content.company,content.date,content.is_remote,content.role_family,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/addepar1/sr-software-engineer-investor-solutions-edinburgh-383916,Addepar1,2026-09-05T15:55:15Z,False,Engineering,2026-09-06T13:42:47.624634Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/addepar1/sr-software-engineer-ai-ml-ai-platform-london-276160,Addepar1,2026-09-05T15:55:15Z,False,Engineering,2026-09-06T13:42:47.624652Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/legora/value-engineer-london-3330,Legora,2026-09-05T15:40:09Z,False,Engineering,2026-09-06T13:42:47.625016Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wordsmith/sales-development-representative-sdr-edinburgh-307356,Wordsmith,2026-09-05T15:40:07Z,False,Sales,2026-09-06T13:42:47.625369Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wundermanthompson/senior-manager-martech-sales-oriented-paris-54368,Wundermanthompson,2026-09-06T10:55:17Z,False,Sales,2026-09-06T13:42:47.625892Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wundermanthompson/head-of-b2b-energy-f-h-senior-manager-paris-112873,Wundermanthompson,2026-09-06T10:55:16Z,False,Other,2026-09-06T13:42:47.625917Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wundermanthompson/consultante-senior-transformation-marketing-experience-client-paris-156346,Wundermanthompson,2026-09-06T10:55:16Z,False,Marketing,2026-09-06T13:42:47.625933Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wundermanthompson/consultant-developpeur-marketing-technology-crm-data-3-a-5-ans-dexperience-paris-120031,Wundermanthompson,2026-09-06T10:55:16Z,False,Marketing,2026-09-06T13:42:47.625949Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wundermanthompson/consultant-data-analyst-marketing-f-h-paris-81857,Wundermanthompson,2026-09-06T10:55:16Z,False,Data,2026-09-06T13:42:47.625959Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/wundermanthompson/account-director-paris-300821,Wundermanthompson,2026-09-06T10:55:16Z,False,Other,2026-09-06T13:42:47.625976Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/cartesia/remote-language-lead-french-contract-424959,Cartesia,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626328Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/cartesia/remote-language-lead-japanese-contract-216713,Cartesia,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626344Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/cartesia/remote-language-lead-hindi-contract-151288,Cartesia,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626360Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/cartesia/remote-language-lead-english-contract-352989,Cartesia,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626375Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/head-of-partner-marketing-france-paris-51549,Deliveroo,2026-09-06T10:40:14Z,False,Marketing,2026-09-06T13:42:47.626743Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/account-manager-groceries-retail-paris-31060,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626761Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/general-assistant-cdd-35h-st-ouen-372712,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626780Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/business-development-manager-strasbourg-97916,Deliveroo,2026-09-06T10:40:14Z,False,Sales,2026-09-06T13:42:47.626792Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/business-development-manager-lyon-400262,Deliveroo,2026-09-06T10:40:14Z,False,Sales,2026-09-06T13:42:47.626803Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/business-development-manager-paris-cdd-6-mois-455063,Deliveroo,2026-09-06T10:40:14Z,False,Sales,2026-09-06T13:42:47.626814Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/senior-social-media-manager-france-paris-271102,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626829Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/business-development-manager-montpellier-cdi-paris-65964,Deliveroo,2026-09-06T10:40:14Z,False,Sales,2026-09-06T13:42:47.626841Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/account-manager-paris-cdi-342766,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626857Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/operations-manager-paris-311884,Deliveroo,2026-09-06T10:40:14Z,False,Operations,2026-09-06T13:42:47.626870Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/account-manager-paris-9850,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626885Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/local-lead-creative-campaigns-8-month-ftc-paris-390979,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626902Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/head-of-global-accounts-france-paris-394539,Deliveroo,2026-09-06T10:40:14Z,False,Other,2026-09-06T13:42:47.626918Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/senior-integrated-marketing-strategy-planning-manager-paris-58978,Deliveroo,2026-09-06T10:40:14Z,False,Marketing,2026-09-06T13:42:47.626930Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/deliveroo/business-development-manager-paris-272382,Deliveroo,2026-09-06T10:40:14Z,False,Sales,2026-09-06T13:42:47.626940Z
