schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hardware-intelligence,hardware intelligence,UNKNOWN,2026-09-06T23:02:49.238629Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/osseus,Osseus,UNKNOWN,2026-09-06T23:02:49.238656Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/allia-health,Allia Health,UNKNOWN,2026-09-06T23:02:49.238683Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/robocurve,Robocurve,UNKNOWN,2026-09-06T23:02:49.238708Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hiloop,hiloop,UNKNOWN,2026-09-06T23:02:49.238735Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/dawn-industries,Dawn Industries,UNKNOWN,2026-09-06T23:02:49.238761Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/onecli,OneCLI,UNKNOWN,2026-09-06T23:02:49.238790Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/wondering,Wondering,UNKNOWN,2026-09-06T23:02:49.238817Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tracer,Tracer,UNKNOWN,2026-09-06T23:02:49.238842Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/locke,Locke,UNKNOWN,2026-09-06T23:02:49.238855Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/florin,Florin,UNKNOWN,2026-09-06T23:02:49.238883Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hebbian-robotics,Hebbian Robotics,UNKNOWN,2026-09-06T23:02:49.238911Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/princeps,PRINCEPS,UNKNOWN,2026-09-06T23:02:49.238937Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/agent-fm,Agent FM,UNKNOWN,2026-09-06T23:02:49.238962Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/openrelay,OpenRelay,UNKNOWN,2026-09-06T23:02:49.238989Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/dock,Dock,UNKNOWN,2026-09-06T23:02:49.239000Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/verdict-machine,Verdict Machine,UNKNOWN,2026-09-06T23:02:49.239029Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/tovenai,TovenAI,UNKNOWN,2026-09-06T23:02:49.239055Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/hyperprobe,HyperProbe,UNKNOWN,2026-09-06T23:02:49.239081Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/skymerse,Skymerse,UNKNOWN,2026-09-06T23:02:49.239109Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/palisade-2,Palisade,UNKNOWN,2026-09-06T23:02:49.239135Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/83-sciences,83 Sciences,UNKNOWN,2026-09-06T23:02:49.239162Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lamb-labs,Lambda,UNKNOWN,2026-09-06T23:02:49.239201Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mireye,Mireye,UNKNOWN,2026-09-06T23:02:49.239228Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/touchy,Touchy,UNKNOWN,2026-09-06T23:02:49.239265Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/pennant,Pennant,UNKNOWN,2026-09-06T23:02:49.239294Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/decawork,Decawork,UNKNOWN,2026-09-06T23:02:49.239320Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/carsignal,CarSignal,UNKNOWN,2026-09-06T23:02:49.239349Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/axelrod,Axelrod,UNKNOWN,2026-09-06T23:02:49.239376Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/care-gp,Care GP,UNKNOWN,2026-09-06T23:02:49.239405Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/agnost-ai,Agnost AI,UNKNOWN,2026-09-06T23:02:49.239432Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/gamgee,Gamgee,UNKNOWN,2026-09-06T23:02:49.239459Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/inkbox,Inkbox,UNKNOWN,2026-09-06T23:02:49.239488Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/familiar,Familiar,UNKNOWN,2026-09-06T23:02:49.239515Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lumeria,Lumeria,UNKNOWN,2026-09-06T23:02:49.239543Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/marengo,Marengo,UNKNOWN,2026-09-06T23:02:49.239569Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/waybill,Waybill,UNKNOWN,2026-09-06T23:02:49.239598Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/executor,Executor,UNKNOWN,2026-09-06T23:02:49.239626Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/last-accounting-company,Last Accounting Company,UNKNOWN,2026-09-06T23:02:49.239655Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/pacific,Pacific,UNKNOWN,2026-09-06T23:02:49.239683Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/luca-iq,Luca IQ,UNKNOWN,2026-09-06T23:02:49.239713Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/financial-datasets,Financial Datasets,UNKNOWN,2026-09-06T23:02:49.239742Z
